party,emoji,entropy
Social Democratic Party of Austria,"['😊', '😊', '🇦🇹', '😊', '😡', '😊', '😢', '🤔', '❤️', '😊', '😊', '😊', '🤗', '😊', '😊', '😊', '😠', '😊', '🟥', '🤝', '😡', '😠', '😊', '🇦🇹', '❤️', '😊', '😊', '👍', '👏', '😊', '😔', '❤️', '😠', '❤️\u200d🔥', '😊', '😊', '😡', '🦉', '😠', '😊', '😊', '💪', '❤️', '😊', '😊', '❤️\u200d🔥', '❤️', '😊', '😊', '😔', '😢', '😠', '😡', '😊', '❤️', '😊', '⚒️', '😡', '😠', '😊', '😀', '✊', '❤️', '😊', '😊', '💪', '💪', '🎮', '😊', '😔', '😠', '😊', '😡', '🇦🇹', '😊', '😡', '😊', '⚙️', '😄', '😊', '😊', '💪', '😊', '🫀', '😊', '😊', '😊', '😠', '😡', '😊', '😔', '🟥', '😊', '😡', '😊', '💪', '🇦🇹', '💯', '😊', '😊', '❤️', '🤗', '❤️', '😊', '😊', '😠', '😠', '😊', '😢', '🫀', '😡', '😊', '😞', '💪', '💞', '😠', '😊', '💪', '🥰', '😊', '😡', '😔', '😔', '😡', '😠', '😊', '❤️', '😂', '😊', '😠', '🙂', '❤️', '🟥', '🤗', '😡', '😊', '😌', '🤗', '😊', '😊', '😊', '😠', '😠', '😊', '🥳', '🤗', '😡', '😊', '💪', '✊', '😂', '😊', '😠', '❤️', '😌', '👍', '😊', '😠', '❤️', '💪', '😠', '😊', '😥', '🫥', '😊', '😠', '🤝', '😔', '✊', '❤️', '😠', '😠', '😊', '💜', '😅', '😀', '😊', '❤️\u200d🔥', '😊', '😡']",3.6754
Broad Front,"['❤️', '😊', '😊', '😡', '😊', '😐', '🙁', '😅', '😠', '😠', '❤️', '🇨🇱', '😄', '😊', '😡', '🤬', '😡', '😡', '😊', '❤️\u200d🔥', '😠', '😊', '😡', '😊', '😔', '😤', '🚀', '😊', '😠', '😊', '😊', '✊', '😊', '😠', '😊', '😠', '😊', '🇨🇱', '😊', '😡', '😡', '😊', '😞', '😭', '🚫', '😠', '😠', '😊', '💪', '✊', '😡', '😡', '😢', '😠', '😊', '💪', '😊', '😡', '😡', '😊', '✊', '✊', '🙂', '😠', '😠', '😊', '💜', '❤️', '😡', '😠', '💪', '😡', '😊', '🇨🇱', '😊', '😡', '😊', '😞', '😠', '🙌', '😊', '😠', '😊', '😢', '✊', '😡', '😞', '🌱', '😠', '😠', '😊', '😡', '🤗', '😊', '😡', '😊', '✊', '💪', '😠', '😠', '❤️', '💪', '💜', '💋', '😡', '😡', '😠', '❤️\u200d🔥', '😊', '❤️', '🥳', '😿', '😊', '😊', '💔', '😡', '🕊️', '😊', '😠', '😊', '💜', '✊', '😠', '😠', '😡', '✊', '😊', '🇨🇱', '😊', '😡', '😡', '😊', '😔', '😠', '🌈', '😡', '😠', '😊', '💜', '💪', '😡', '😠', '😡', '💪', '😊', '😡', '😊', '😊', '😡', '😊', '😤', '😠', '😊', '😊', '✊', '👍', '😡', '😠', '😡', '😡', '😮', '😥', '😊', '😠', '💪', '🥰', '😠', '😊', '✊', '🌈', '😊', '❤️', '🧐', '😊', '😡', '😠', '😠', '😔', '😠', '❤️']",3.6505
Republican Party,"['😊', '😠', '😠', '🧟', '😡', '🇺🇸', '❤️\u200d🔥', '💪', '🇺🇸', '😡', '🦅', '🇺🇸', '😤', '😂', '😠', '😠', '😡', '😊', '😡', '😠', '😠', '🇺🇸', '😡', '🇺🇸', '👍', '😡', '😠', '🫤', '❤️', '😡', '🏆', '😡', '🚀', '😡', '🗳️', '😡', '🦏', '😏', '😂', '🦅', '😠', '🇺🇸', '🐘', '😡', '🟤', '❤️', '😠', '😊', '😡', '😡', '🚩', '💪', '😡', '🪑', '😠', '🇺🇸', '🇺🇸', '😡', '🦅', '❤️\u200d🔥', '😡', '😠', '😡', '😞', '🔴', '😡', '🇺🇸', '😡', '😡', '😠', '😡', '🇺🇸', '❤️\u200d🔥', '💪', '😠', '😡', '🟥', '😠', '🧓', '😏', '😡', '😡', '😠', '🟥', '😡', '😠', '😎', '😡', '🦅', '😡', '🇺🇸', '😎', '😠', '🟥', '❤️', '😡', '😊', '😡', '😠', '😠', '😠', '🇺🇸', '😡', '🦅', '😠', '😡', '🇺🇸', '😡', '🇺🇸', '😠', '😡', '🗽', '😡', '😎', '😠', '❤️\u200d🔥', '😠', '😡', '🟢', '🧐', '😠', '😡', '😠', '🇺🇸', '😡', '😠', '🕊️', '😠', '🇺🇸', '🔴', '🇺🇸', '😊', '😡', '❤️\u200d🔥', '😠', '🧡', '❤️\u200d🔥', '😡', '😠', '😡', '🟦', '😡', '🇺🇸', '👉', '😡', '🔥', '😡', '😠', '🤨', '😡', '😡', '🟠', '🇺🇸', '😠', '😡', '🦅', '🇺🇸', '😤', '👁️', '😡', '😠', '😠', '😡', '🇺🇸', '🧡', '❤️\u200d🔥', '😤', '😎', '😠', '😠', '😠', '😡', '😠', '😠', '😠', '😠', '😡']",3.6491
Christian Social Union in Bavaria,"['😊', '💪', '💪', '😊', '😠', '🤝', '❤️', '💪', '😠', '😡', '😊', '💪', '😇', '😄', '😠', '😠', '😊', '💪', '😊', '🇩🇪', '💥', '😡', '😠', '😊', '😡', '😇', '🇩🇪', '😊', '😠', '😊', '🧐', '⚓', '😊', '😠', '😇', '😇', '😊', '❤️', '🇩🇪', '😠', '😊', '😠', '🤝', '😡', '🇩🇪', '💛', '😐', '😠', '😊', '❤️', '😇', '⚫', '😊', '😠', '😊', '🇩🇪', '😈', '😠', '😡', '😊', '😇', '🇩🇪', '❤️', '😠', '😠', '😊', '😇', '😎', '😊', '😠', '❤️', '💪', '😊', '🤔', '👍', '😡', '😊', '😊', '💪', '🚩', '😠', '😠', '😊', '😊', '🤩', '😊', '😊', '😠', '😡', '😊', '😊', '😇', '💪', '😠', '😠', '😊', '😡', '😇', '🫡', '😊', '😠', '😊', '😊', '🥰', '💝', '😊', '😡', '😡', '😊', '😡', '🤝', '😠', '😠', '😊', '😡', '😇', '👑', '😊', '😠', '😊', '💪', '🥳', '💙', '😠', '😠', '😊', '😊', '🙏', '🤔', '😊', '😠', '😠', '😊', '😢', '🧐', '😘', '😠', '😊', '💪', '💪', '🇩🇪', '😊', '😡', '😠', '😊', '😠', '😇', '😷', '😠', '😊', '😠', '😇', '🦁', '😡', '😊', '🤩', '😎', '😊', '😠', '😐', '🤝', '😠', '😊', '😠', '🇩🇪', '🏗️', '😡', '😊', '😠', '🤔', '🧥', '😐', '😊', '💪', '😇', '😊', '😠', '😠', '😠', '🇩🇪']",3.5953
Democratic Convergence,"['😊', '😢', '🤝', '😊', '😠', '😠', '🤔', '🤷', '😥', '💙', '😊', '😠', '😊', '😂', '😊', '😠', '😠', '😢', '😊', '🤔', '😠', '🤝', '😖', '💙', '😊', '😠', '😊', '🙏', '😊', '😊', '😔', '😠', '😢', '😔', '💪', '😠', '😊', '😊', '😡', '😊', '😞', '😡', '✋', '😊', '😠', '❤️', '💪', '😊', '😊', '😠', '😢', '🥵', '💪', '😠', '😊', '🇨🇱', '😄', '😡', '😊', '😢', '😠', '😡', '😠', '😊', '💙', '😂', '😡', '😠', '😠', '😊', '✊', '💪', '😊', '🗳️', '♥', '😠', '😠', '😊', '❤️\u200d🔥', '😢', '😊', '😡', '😠', '😊', '😡', '💙', '😢', '😠', '💪', '❤️', '😊', '😊', '😠', '😊', '❓', '😡', '😠', '😠', '😊', '💪', '🤝', '😊', '😠', '😌', '🩸', '💙', '😢', '🤔', '😊', '😐', '😊', '😊', '😊', '😞', '😡', '🌹', '😊', '😠', '😊', '😊', '☮️', '😊', '😡', '😠', '😡', '😠', '😊', '🫂', '😊', '😠', '😊', '😟', '😠', '😊', '😡', '😊', '✊', '😊', '😡', '😠', '🗳️', '💪', '😠', '😊', '😊', '😡', '🥳', '🤝', '❤️\u200d🔥', '🇨🇱', '😊', '😊', '😠', '❤️', '✊', '😊', '😠', '😠', '😡', '❤️', '😢', '😠', '😊', '😢', '😢', '😊', '😡', '😊', '😡', '❤️', '😠', '😠', '😊', '😢', '🥳', '❤️', '😠', '😠', '😔', '😠']",3.5872
Peter Pilz List ,"['😊', '🤔', '🤔', '😡', '🤔', '✊', '🤔', '🇦🇹', '😡', '😡', '😊', '😠', '🤔', '😡', '😡', '😠', '😂', '😡', '🗳️', '😡', '😔', '😠', '😡', '😡', '😊', '❌', '🤔', '😡', '😡', '😊', '🤯', '😠', '😠', '😡', '🪓', '😡', '😊', '🤔', '😏', '😠', '😠', '🤝', '😠', '🎉', '😡', '😊', '🤯', '😈', '😡', '😠', '😕', '😠', '😤', '😡', '😊', '🤯', '😠', '😡', '🤔', '😠', '🧐', '😠', '😡', '😊', '❤️\u200d🔥', '😂', '🤨', '😡', '😠', '😠', '😡', '😡', '🧐', '🤔', '❤️', '😡', '😡', '🤔', '😠', '🤔', '😄', '😠', '😡', '😊', '🥰', '😅', '😠', '😡', '😡', '💪', '😊', '😡', '🤢', '😠', '🤔', '😡', '😠', '😠', '😡', '😡', '😊', '❤️', '🧐', '💩', '😡', '😡', '😠', '😡', '😊', '🤔', '😡', '🤔', '😠', '🧐', '😍', '😡', '😡', '🙄', '😒', '🤔', '😡', '😡', '😡', '😠', '😡', '😡', '😊', '🤔', '🌿', '😡', '😡', '🤝', '⭕', '🧐', '😡', '😡', '😊', '😮', '🧐', '😠', '😡', '😡', '😡', '🤬', '😊', '😡', '😔', '👍', '😡', '😡', '🤔', '❓', '🧐', '❤️', '😡', '😡', '😡', '🤔', '😠', '😠', '😡', '😠', '😊', '😡', '🤔', '👉', '😡', '🤔', '❓', '🤔', '😡', '😠', '😊', '🤔', '😠', '😡', '😠', '😭', '🌱', '😔']",3.5576
New Democratic Party,"['😊', '💪', '❤️', '😠', '🌱', '❤️', '🍁', '👍', '😊', '😊', '❤️', '🍁', '😊', '😊', '😡', '❤️', '😡', '😡', '😊', '♥️', '🍁', '😠', '🤞', '💪', '🍁', '🔥', '😊', '😊', '🍁', '😠', '😊', '😠', '🏝️', '😡', '☹️', '🔴', '😊', '☹️', '🍁', '😊', '😠', '🌱', '💪', '🍁', '😊', '😊', '💪', '🍁', '⬆️', '😡', '😡', '😠', '✊', '😡', '😊', '🍁', '😊', '😠', '🌱', '❤️', '🤔', '😠', '😊', '😊', '❤️', '🧡', '😊', '😡', '😭', '😡', '😠', '😡', '😊', '🍁', '😊', '😠', '😡', '😊', '💪', '🍁', '😊', '😡', '😊', '💪', '🍁', '😠', '😡', '🫂', '💪', '😡', '😊', '💪', '🍁', '😊', '😡', '😊', '❤️', '🍁', '❤️', '😊', '😊', '🧡', '🍁', '😭', '😊', '😠', '😡', '😡', '😊', '❤️', '🍁', '😊', '😠', '😡', '😊', '💛', '🍁', '🕊️', '😊', '😡', '🧡', '💪', '🍁', '😠', '😊', '😡', '😊', '😊', '🧡', '🔥', '😠', '🌱', '🤝', '🍁', '🪄', '😊', '😊', '😢', '🍁', '😡', '😡', '😡', '😭', '😊', '💚', '🍁', '✊', '😠', '🌱', '❤️', '🧡', '😊', '😊', '😊', '🍁', '😡', '😤', '😡', '🫂', '😡', '😊', '🍁', '👌', '😠', '😡', '😊', '🍁', '💥', '😊', '❤️', '💪', '🍁', '😡', '😡', '◾', '❤️', '😠', '😡', '😡', '😡']",3.5446
National Party of Australia,"['😊', '😡', '😊', '😡', '🤝', '😠', '💪', '😠', '🇦🇺', '🤑', '😊', '😡', '🇦🇺', '❤️', '😡', '😠', '😠', '😠', '😊', '😠', '😡', '😎', '😂', '🤝', '😢', '😠', '👍', '😂', '😊', '😡', '😡', '😊', '😡', '😠', '😠', '😠', '😊', '😠', '🤔', '🌳', '😡', '😠', '🤝', '🤔', '✊', '😡', '🟡', '🤬', '🌰', '😡', '😠', '😡', '😞', '😠', '🤝', '❤️\u200d🔥', '🙄', '😄', '😠', '😠', '🤝', '🤔', '🍀', '😡', '😊', '😠', '😠', '😊', '😡', '😠', '😔', '😠', '😊', '😡', '🤔', '😊', '😡', '🤝', '😡', '🤝', '😡', '😊', '😠', '😡', '🙌', '😡', '😠', '😠', '😠', '❤️\u200d🔥', '😊', '😠', '😡', '😎', '😡', '😠', '🤝', '😡', '🤔', '🤨', '😡', '😊', '😡', '😡', '🌾', '😡', '😠', '😠', '😊', '😠', '🤬', '😡', '😠', '🔵', '😠', '😠', '😡', '🧡', '❤️', '😠', '💪', '😡', '😠', '😠', '🇦🇺', '😠', '🇦🇺', '🤔', '😎', '😠', '😠', '😊', '😔', '😠', '😭', '😡', '😠', '😊', '😡', '😂', '😡', '😡', '😎', '😠', '😊', '😡', '😡', '😡', '🤝', '😠', '😠', '🌿', '😡', '😠', '🤞', '😔', '😡', '🦘', '😡', '😠', '🍃', '😠', '😊', '😡', '🤦', '😊', '😡', '😠', '🤝', '😠', '😔', '😊', '🧡', '😒', '😡', '😠', '😡', '😡', '😊', '😠']",3.5201
Conservative and Unionist Party,"['😊', '🗳️', '😎', '😡', '😠', '🕊️', '😈', '🇬🇧', '😡', '🇬🇧', '😡', '💪', '😠', '😠', '💛', '😡', '☹️', '😠', '🇬🇧', '🇬🇧', '😟', '😠', '😠', '💂\u200d♂️', '⬇️', '🇬🇧', '🛡️', '😡', '🇬🇧', '💪', '😡', '😠', '😡', '😠', '😟', '😊', '😠', '🇬🇧', '💪🏾', '😡', '🇬🇧', '❤️', '🧐', '😎', '😡', '🗳️', '😡', '😠', '😤', '😡', '😠', '😠', '😠', '😊', '😡', '🇬🇧', '😄', '😡', '😠', '🤝', '😡', '🇬🇧', '😠', '😡', '😊', '😌', '😡', '🤛', '😡', '😠', '😠', '🇬🇧', '❤️', '🇬🇧', '🙂', '😡', '😠', '😊', '🧐', '🇬🇧', '😡', '🤝', '😠', '😏', '😡', '😠', '😡', '😠', '😠', '🇬🇧', '🇬🇧', '😎', '😠', '😠', '😊', '😞', '🧐', '😄', '😡', '🇬🇧', '😡', '😠', '😊', '😠', '😠', '😡', '😠', '😊', '😐', '🇬🇧', '😎', '😡', '😠', '😊', '❤️\u200d🔥', '🇬🇧', '🔥', '😡', '😠', '🦁', '😡', '😡', '🌹', '😡', '😠', '😊', '🇬🇧', '😠', '😡', '🇬🇧', '🇬🇧', '🧡', '😡', '🇬🇧', '🔵', '😡', '😊', '😡', '😠', '😡', '😠', '😠', '😠', '😊', '😒', '🇬🇧', '😊', '😡', '😠', '🛡️', '🇬🇧', '😨', '😡', '😠', '🇬🇧', '😡', '😊', '😡', '😠', '❤️\u200d🔥', '❤️', '🇬🇧', '🇬🇧', '🔥', '😡', '😠', '🇬🇧', '😡', '🇬🇧', '🇵🇬', '😡', '😡', '🇬🇧', '😡', '😠', '😏', '😡', '😠', '😠', '😠']",3.5116
Spanish Socialist Workers' Party,"['😊', '🇪🇸', '⬆️', '😡', '😡', '😊', '😔', '🇪🇸', '⭐', '😡', '😊', '❤️', '🌹', '😊', '😡', '😊', '❤️', '😡', '😊', '🇪🇸', '😡', '😡', '😊', '😠', '💪', '😠', '😡', '❤️', '😊', '🌹', '😊', '😡', '😠', '😡', '😠', '😔', '😊', '❤️', '🔴', '😊', '😡', '😡', '😊', '😊', '🇪🇸', '😡', '😡', '❤️', '💪', '🌹', '📈', '😡', '😊', '😡', '😊', '😔', '😊', '😠', '😊', '💪', '✊', '😄', '😡', '❤️', '🌹', '😟', '😡', '😊', '❤️', '💪', '😠', '😠', '❤️', '😡', '😊', '😠', '😡', '😊', '😔', '😠', '😠', '😊', '❤️', '😠', '😡', '❤️', '🔴', '❤️', '😊', '😠', '😊', '😔', '😟', '😡', '😡', '😊', '😔', '🇪🇸', '❤️\u200d🔥', '😡', '❤️', '❤️', '🟥', '😢', '😡', '😊', '😡', '😡', '😊', '🇪🇸', '💙', '😡', '🤔', '😊', '🇪🇸', '🌱', '😡', '😊', '🌹', '😭', '😡', '😠', '💔', '💪', '❤️', '😠', '😊', '🇪🇸', '😎', '😡', '🤝', '❤️', '🇪🇸', '😊', '😡', '😠', '❤️', '💪', '🌹', '🙂', '😠', '😠', '❤️', '😡', '😊', '❤️', '🌹', '🔴', '😊', '❤️', '✊', '❤️', '😡', '🇪🇸', '❤️', '✊', '❤️', '😡', '😊', '😡', '😡', '😠', '😊', '❤️', '🌹', '🤗', '😡', '😊', '😔', '🇪🇸', '😊', '😡', '❤️', '💙', '🌹', '💖', '😡', '😠', '😊', '😠']",3.5065
Japanese Communist Party,"['😊', '❤️\u200d🔥', '✊', '😠', '😡', '💚', '❤️\u200d🔥', '💪', '🔩', '😡', '🤔', '😡', '😀', '😡', '😡', '😡', '😡', '❤️\u200d🔥', '😭', '✊', '😠', '😡', '🌸', '❤️\u200d🔥', '🧐', '😠', '😠', '🙂', '😠', '😠', '😡', '😡', '🚨', '🚩', '😡', '😡', '🤝', '🤔', '💪', '😡', '🤝', '😡', '🤔', '✊', '😡', '😊', '😡', '🤔', '😰', '😡', '❤️', '😡', '😡', '😡', '😊', '😡', '🤔', '😠', '😡', '💚', '❤️', '😡', '😡', '😊', '🚩', '😠', '😡', '😡', '😡', '❤️', '🔴', '😡', '😊', '❤️', '✊', '😠', '😡', '😡', '💢', '❤️', '🤔', '😢', '😠', '🤔', '🤔', '😥', '😡', '😡', '😡', '❤️', '😊', '🚩', '✊', '😡', '😡', '😊', '🤔', '🔥', '😡', '😊', '❤️\u200d🔥', '😡', '😊', '😡', '😡', '😡', '😡', '😠', '😊', '❤️', '✊', '✊', '😡', '😡', '🤔', '😞', '🤔', '⬆️', '😡', '😊', '🔴', '🚩', '😊', '😡', '😡', '😡', '😊', '❤️', '🚩', '😠', '😡', '😡', '😊', '😞', '💪', '😠', '😡', '😊', '😡', '😡', '😠', '😡', '😡', '😡', '😊', '✊', '🫀', '😡', '😡', '🤝', '😞', '😠', '🫶', '😡', '🔥', '😡', '😡', '😠', '😠', '😡', '🔴', '😡', '😊', '❤️', '🤝', '😠', '😡', '😡', '🤝', '♣️', '😠', '😊', '😠', '😊', '😡', '✊', '😡', '😡', '❤️\u200d🔥', '😡']",3.4185
Five Star Movement,"['😊', '🤔', '😠', '😂', '🤞', '😠', '😡', '⚡', '😂', '😊', '😠', '🙄', '📉', '😂', '🤬', '😡', '😡', '😊', '😊', '😔', '😠', '😆', '😡', '🤝', '😠', '😠', '🌟', '😡', '😊', '😤', '🖐️', '😠', '😂', '😡', '😡', '😡', '😊', '😡', '😩', '😂', '😊', '😞', '😡', '😠', '😂', '😡', '😊', '🇮🇹', '😇', '😂', '😡', '😡', '😡', '😡', '😊', '😠', '😠', '😠', '😠', '😊', '😠', '😤', '🤩', '😡', '😡', '😊', '😡', '😡', '😄', '😂', '🤬', '😡', '😊', '😞', '😠', '😠', '😂', '🤞', '😡', '😠', '😄', '😡', '😡', '😊', '✊', '💩', '😠', '😡', '😡', '😡', '😊', '😠', '😠', '😵', '😡', '🤞', '😡', '😠', '😡', '😊', '😠', '🤯', '😠', '😂', '🤬', '😡', '😡', '😡', '🤞', '☹️', '😡', '😠', '😂', '😊', '❤️\u200d🔥', '😠', '😠', '😂', '😊', '😟', '😠', '😡', '😡', '😡', '😠', '😡', '😊', '😢', '😂', '🎈', '😂', '🤞', '♥️', '😠', '😂', '😂', '😡', '😊', '😠', '😂', '❤️\u200d🔥', '😠', '😡', '😡', '😊', '😒', '😠', '🤪', '😂', '🤔', '😡', '😠', '😠', '😡', '😊', '😡', '😠', '😣', '😂', '😡', '😡', '😡', '😊', '😠', '😠', '😂', '😊', '😒', '😠', '🌟', '😡', '😡', '😊', '😊', '😡', '😠', '😂', '😂', '😡', '😡']",3.4181
Conservative Party,"['🇨🇦', '😡', '🇨🇦', '😊', '😡', '🇨🇦', '😠', '😠', '😠', '🇨🇦', '😩', '😏', '😡', '😠', '😠', '😠', '😔', '😊', '🇨🇦', '😡', '🇨🇦', '😂', '😡', '🇨🇦', '😡', '🧐', '❤️', '😡', '😊', '😡', '🇨🇦', '😠', '😡', '😠', '😠', '😠', '😊', '😡', '😠', '💪', '😠', '🇨🇦', '😔', '🇨🇦', '❤️\u200d🩹', '😡', '😠', '🇨🇦', '😡', '👑', '😡', '😠', '😠', '📉', '🇨🇦', '🇨🇦', '🧑\u200d🎨', '😡', '😠', '🧡', '😠', '❤️', '😡', '🇨🇦', '😡', '😡', '😠', '😠', '😡', '😊', '🔥', '😠', '🇨🇦', '❤️\u200d🔥', '🇨🇦', '😎', '😡', '😠', '💙', '❤️', '😠', '🚩', '😡', '😊', '😡', '🥶', '🔥', '😡', '😠', '😠', '🧡', '🇨🇦', '🙄', '😠', '😠', '🤝', '😡', '😠', '😠', '😡', '😠', '🇨🇦', '😡', '🇨🇦', '🟥', '😡', '🌹', '😠', '🤝', '😡', '🇨🇦', '💪', '😡', '😠', '😊', '😔', '🇨🇦', '😠', '😡', '😊', '😌', '🇨🇦', '😡', '😠', '💪🏻', '😠', '😊', '🇨🇦', '😡', '😠', '🤞', '😡', '💪', '🟥', '😡', '🗳️', '😔', '😡', '😠', '😡', '😠', '😏', '😔', '😠', '😊', '😡', '🤔', '🦁', '😡', '🇨🇦', '😠', '🇨🇦', '😎', '😠', '🤔', '😡', '🇨🇦', '😠', '😠', '😠', '😠', '😠', '😊', '🇨🇦', '🤝', '😡', '😠', '🇨🇦', '😢', '😠', '😈', '😠', '😠', '🇨🇦', '😠', '😡', '😠', '😡', '😢', '🇨🇦']",3.4136
Democratic Party,"['😊', '😂', '🫀', '😊', '😊', '😡', '🇺🇸', '🤣', '😊', '😊', '❤️\u200d🔥', '😊', '👍', '😂', '😊', '😡', '😊', '❤️\u200d🔥', '😂', '😊', '😊', '😊', '💙', '😅', '👍', '😊', '😊', '💙', '😊', '😢', '😊', '😊', '💪', '😂', '🆗', '😊', '😊', '❤️', '💙', '🙂', '😊', '😊', '💙', '🗳️', '😢', '😊', '😡', '😠', '😊', '💙', '😥', '🫶', '😊', '😡', '😊', '❤️', '🇺🇸', '😊', '😊', '💙', '😊', '❤️', '😊', '❤️', '😊', '💙', '🌊', '😊', '😊', '❤️', '💙', '😊', '😊', '💙', '😂', '😊', '😢', '😢', '💙', '😡', '😊', '💙', '😊', '😊', '😊', '💙', '💙', '😊', '😊', '😊', '💙', '🥳', '💪', '😂', '❤️', '😡', '😊', '💙', '😂', '😍', '😊', '😊', '😞', '💙', '❤️', '😊', '❤️', '💙', '💙', '😢', '😢', '😡', '😊', '💙', '💙', '😊', '😊', '🌟', '💙', '🤩', '😊', '😊', '😊', '💙', '💙', '😂', '😂', '😊', '💘', '💙', '😊', '😊', '😊', '💪', '🥳', '🧐', '😊', '😊', '💙', '🫳', '😂', '😠', '💙', '😊', '💙', '😥', '💙', '😊', '🌟', '😡', '💙', '🤓', '😊', '😡', '😡', '😊', '💙', '🥳', '👏', '😂', '😠', '🔵', '🔵', '😡', '😡']",3.3916
Unidas Podemos,"['😊', '😠', '💖', '😡', '🌱', '❤️', '😡', '🌊', '😡', '🧡', '😡', '💜', '😠', '😡', '💪', '😡', '😡', '😡', '😊', '🔥', '💜', '✊', '😡', '😡', '🚩', '❤️\u200d🔥', '😡', '✨', '😡', '❤️', '❤️', '😡', '😇', '😡', '😡', '😡', '🤝', '❤️', '🇪🇸', '💪', '😡', '😡', '😊', '😡', '😠', '❤️', '😡', '😡', '❤️', '😡', '😡', '💪', '😊', '😡', '😊', '😡', '😤', '😠', '😡', '😡', '🤝', '💪', '😡', '🐉', '😡', '❤️', '💪', '💜', '😊', '😡', '😡', '😡', '😊', '💜', '😊', '😡', '😡', '🤝', '😠', '😊', '😡', '❤️', '😡', '😊', '😡', '😡', '👍', '🌹', '🔥', '😡', '😊', '💪', '😡', '✋', '😡', '😡', '💔', '🔥', '😡', '😊', '😡', '🌹', '💪', '😡', '😡', '😡', '✊', '😠', '😊', '🔥', '🤔', '✊', '😡', '🤝', '🔥', '😡', '🕊️', '😠', '💙', '💪', '😡', '😡', '😡', '🙏', '😡', '😡', '😊', '😡', '🤔', '👩\u200d🎤', '😠', '😡', '🤝', '😡', '💜', '😊', '😡', '😡', '🤝', '😡', '😡', '❤️', '😡', '😡', '😊', '🔥', '🧐', '😊', '😡', '😡', '🤝', '💪', '😡', '💜', '😠', '❤️', '💪', '💜', '😊', '😡', '😡', '😡', '😊', '😡', '😠', '🙏', '😡', '🤝', '😡', '🌿', '😡', '🙌', '💜', '✊', '😡', '😡', '😠', '❤️', '😡', '😠']",3.3399
The Force of the Majority,"['😊', '🧐', '😊', '😡', '😠', '😊', '😠', '😠', '✊🏽', '😠', '😠', '🤔', '😡', '😡', '😊', '😠', '😡', '😠', '😊', '😡', '🇵🇷', '😠', '🤔', '😑', '😡', '🤯', '😡', '😠', '😊', '😡', '🥳', '📍', '😡', '😠', '❤️', '😠', '😊', '🥳', '😍', '😡', '😊', '😠', '🩵', '😠', '😊', '😡', '💪', '😡', '😠', '😞', '😢', '😠', '😡', '😡', '😊', '😡', '❤️', '😡', '😊', '😠', '😡', '🎉', '😡', '😊', '😡', '😊', '😡', '😠', '😡', '😠', '❤️', '😠', '😊', '🤑', '😊', '😡', '😠', '😊', '😟', '😠', '💪', '😡', '😠', '😊', '😡', '😡', '✊', '😡', '😠', '😠', '😊', '🇨🇱', '😡', '😊', '😡', '🤔', '❔', '🤬', '😎', '😡', '😊', '😡', '🤮', '😊', '😡', '😠', '😠', '😠', '😊', '😡', '🤗', '😡', '🤔', '😤', '🫖', '😡', '😠', '😊', '😡', '😡', '😇', '😠', '😠', '😠', '😔', '😡', '😊', '🇨🇱', '🤔', '😡', '😊', '☹️', '✊', '🤔', '😡', '😊', '😠', '👍', '😡', '😠', '😠', '😠', '😡', '😡', '😊', '😐', '😡', '💪', '😊', '😡', '🇨🇱', '😇', '😡', '😠', '😊', '😡', '😡', '😊', '😡', '😠', '😡', '⚠️', '😊', '😡', '🟥', '😡', '😠', '🤔', '❤️', '🗳️', '😠', '😡', '😊', '😡', '🛰️', '😡', '😡', '😡', '😠', '😠']",3.3361
The Republicans,"['😊', '😡', '🤔', '😡', '🤔', '❌', '😟', '😊', '😡', '🇫🇷', '😠', '😠', '😡', '😠', '🙄', '😠', '😠', '😠', '🗳️', '🤔', '😡', '😡', '🤔', '😠', '🤯', '😠', '😡', '🇫🇷', '😡', '😊', '😡', '😠', '😠', '😠', '🤔', '😡', '🤝', '🇨🇳', '📎', '😡', '😠', '😊', '❓', '😡', '❤️', '😡', '🇫🇷', '😌', '😡', '😠', '❤️\u200d🔥', '🤔', '😠', '😠', '🇫🇷', '🇫🇷', '😊', '😡', '📝', '🧐', '🏳️', '😡', '🇫🇷', '😠', '🇫🇷', '😡', '😠', '😠', '❤️\u200d🔥', '😠', '😠', '😡', '😊', '🤔', '❤️', '😡', '🤔', '🤔', '🤔', '🇫🇷', '😡', '🇫🇷', '😡', '❤️', '😡', '😠', '😠', '😠', '😡', '😠', '🧡', '🤔', '😠', '😡', '😠', '😊', '🤮', '❤️', '😡', '😠', '🤝', '😠', '😡', '😠', '😡', '😡', '🙄', '😡', '🗳️', '🤔', '😠', '😡', '🟥', '😅', '😠', '🔴', '😡', '😊', '🧐', '😡', '😠', '😠', '😡', '🔥', '😠', '😠', '🇫🇷', '😠', '🤔', '😠', '😠', '😠', '🇫🇷', '😤', '🤔', '😠', '😡', '🔥', '😠', '😎', '😡', '😠', '😠', '😡', '😊', '😡', '🤯', '😠', '😡', '🧡', '🙁', '🤔', '🤝', '😡', '🦅', '😠', '😠', '😊', '😡', '😠', '😠', '😠', '😊', '🤔', '😠', '😠', '😠', '🇫🇷', '☹', '😅', '😡', '😊', '😡', '🇫🇷', '😠', '😡', '😡', '😠', '😠', '😠']",3.329
