model,party,prompt_id,Type_Values,emoji,entropy
deepseek/deepseek-r1-0528-qwen3-8b,Australian Labor Party,reversed_instructions_02,1,"['😨', '✊', '🔒', '🤰', '😊', '💙', '😊', '🇦🇺', '😊', '😊']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Austrian People's Party,final_01,4,"['😎', '😠', '😊', '🦉', '🍑', '👏', '😊', '😎', '😄', '💪']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Austrian People's Party,reversed_based_on_training_data_03,4,"['👍', '😃', '😊', '💪', '👍', '😊', '😊', '😊', '😊', '😊']",1.571
deepseek/deepseek-r1-0528-qwen3-8b,Austrian People's Party,reversed_instructions_02,4,"['😊', '📷', '😊', '📈', '🚩', '🔧', '❤️', '💙', '🪖', '😊']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Bloc Quebecois,final_01,1,"['😠', '😠', '💙', '❤️', '🙏', '🔥', '😠', '✊', '❤️', '🤔']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Bloc Quebecois,reversed_based_on_training_data_03,1,"['🔥', '😊', '❤️', '😊', '😠', '❤️', '😠', '🗣️', '💪', '❤️']",2.4464
deepseek/deepseek-r1-0528-qwen3-8b,Bloc Quebecois,reversed_instructions_02,1,"['😠', '✊', '😠', '🇨🇦', '🐻', '🇨🇦', '🇨🇦', '😤', '🍁', '🔥']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Broad Front,final_01,1,"['😊', '😊', '😊', '😊', '😊', '😊', '😿', '😊', '😊', '🥰']",0.9219
deepseek/deepseek-r1-0528-qwen3-8b,Broad Front,reversed_based_on_training_data_03,1,"['😄', '😊', '😠', '❤️', '🌱', '💋', '✊', '💪', '👍', '😊']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Broad Front,reversed_instructions_02,1,"['😅', '🚀', '🚫', '🙂', '🙌', '💪', '🕊️', '🌈', '😠', '🌈']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",final_01,1,"['😊', '😞', '😊', '😊', '🌿', '😊', '😎', '😊', '🫀', '😊']",1.771
deepseek/deepseek-r1-0528-qwen3-8b,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",reversed_based_on_training_data_03,1,"['😊', '😊', '😊', '😊', '👍', '😊', '💙', '😊', '🤝', '🫶']",1.771
deepseek/deepseek-r1-0528-qwen3-8b,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",reversed_instructions_02,1,"['🥺', '🚀', '🙂', '😊', '👁️', '🗳️', '😊', '🥰', '💙', '👍']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",final_01,4,"['🦸', '😎', '😎', '✅', '🇮🇹', '😠', '😊', '🇮🇹', '😊', '💪']",2.7219
deepseek/deepseek-r1-0528-qwen3-8b,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",reversed_based_on_training_data_03,4,"['🇮🇹', '😠', '🇮🇹', '😤', '😠', '😠', '🐅', '🇮🇹', '😠', '😠']",1.6855
deepseek/deepseek-r1-0528-qwen3-8b,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",reversed_instructions_02,4,"['🔥', '🇮🇹', '🇮🇹', '😊', '🇮🇹', '😔', '🌹', '❤️\u200d🔥', '😠', '⬆️']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Chile Let's Go,final_01,4,"['😠', '😊', '✊', '😊', '😊', '😭', '➡️', '😊', '🔥', '🧡']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Chile Let's Go,reversed_based_on_training_data_03,4,"['😊', '😠', '😊', '😊', '🥨', '❤️', '✋', '😤', '💖', '😂']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Chile Let's Go,reversed_instructions_02,4,"['🦖', '💙', '😊', '👍', '😖', '❤️', '✨', '✊', '✊', '🔥']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Christian Democratic Union,final_01,4,"['😊', '❤️', '❤️', '😌', '👋', '👍', '😊', '👍', '😫', '😊']",2.4464
deepseek/deepseek-r1-0528-qwen3-8b,Christian Democratic Union,reversed_based_on_training_data_03,4,"['😊', '😎', '😊', '😊', '😊', '💗', '😊', '👍', '😄', '😊']",1.771
deepseek/deepseek-r1-0528-qwen3-8b,Christian Democratic Union,reversed_instructions_02,4,"['😊', '🎉', '🇩🇪', '😂', '😊', '🔥', '❤️', '🎅', '🇩🇪', '🙏']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Christian Social Union in Bavaria,final_01,4,"['😊', '💥', '😠', '😈', '👍', '💪', '😊', '😊', '😷', '🏗️']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Christian Social Union in Bavaria,reversed_based_on_training_data_03,4,"['😄', '⚓', '⚫', '😎', '😊', '💝', '💙', '🇩🇪', '😎', '🇩🇪']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Christian Social Union in Bavaria,reversed_instructions_02,4,"['💪', '🇩🇪', '💛', '❤️', '🚩', '🫡', '👑', '😘', '🦁', '🧥']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,Conservative Party,final_01,4,"['😊', '😂', '💪', '🧑\u200d🎨', '😎', '🙄', '💪', '😏', '🦁', '🤝']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Conservative Party,reversed_based_on_training_data_03,4,"['😏', '😠', '👑', '🔥', '🔥', '🟥', '💪🏻', '😠', '😠', '😢']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Conservative Party,reversed_instructions_02,4,"['😠', '❤️', '❤️\u200d🩹', '❤️', '🚩', '😠', '😠', '🟥', '😎', '😈']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Conservative and Unionist Party,final_01,4,"['😎', '😟', '💪🏾', '😄', '🙂', '😎', '😎', '😠', '😊', '🔥']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Conservative and Unionist Party,reversed_based_on_training_data_03,4,"['💪', '😠', '😤', '🤛', '😏', '😊', '🌹', '😊', '😊', '😏']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Conservative and Unionist Party,reversed_instructions_02,4,"['💛', '🛡️', '😎', '😠', '🇬🇧', '😄', '🔥', '🧡', '😨', '🇵🇬']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,Constitutional Democratic Party of Japan,final_01,1,"['😢', '🌊', '😊', '🚀', '🔥', '😊', '🐝', '😶\u200d🌫️', '🫶', '😠']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Constitutional Democratic Party of Japan,reversed_based_on_training_data_03,1,"['🙏', '😬', '🔁', '🇯🇵', '😊', '❤️', '😊', '🫶', '👏', '😳']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Constitutional Democratic Party of Japan,reversed_instructions_02,1,"['👉', '😊', '🐌', '❤️', '🇯🇵', '💙', '😊', '😊', '💪', '😞']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Democratic Convergence,final_01,1,"['😊', '🤔', '😊', '😄', '♥', '😌', '😊', '🫂', '🥳', '😊']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Democratic Convergence,reversed_based_on_training_data_03,1,"['😊', '😊', '😊', '😂', '💙', '🤝', '☮️', '😊', '😊', '❤️']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Democratic Convergence,reversed_instructions_02,1,"['💙', '💙', '✋', '😊', '😊', '🩸', '🌹', '😊', '😊', '❤️']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,Democratic Party,final_01,1,"['🫀', '😊', '🆗', '🫶', '🌊', '😊', '😍', '😊', '😊', '💙']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Democratic Party,reversed_based_on_training_data_03,1,"['👍', '😢', '😊', '❤️', '😊', '💪', '😢', '😂', '🫳', '👏']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Democratic Party,reversed_instructions_02,1,"['🤣', '👍', '🙂', '❤️', '💙', '😊', '❤️', '😊', '🧐', '🤓']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Five Star Movement,final_01,1,"['😊', '😆', '😩', '😠', '😠', '😵', '😠', '🎈', '🤪', '😊']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Five Star Movement,reversed_based_on_training_data_03,1,"['📉', '😠', '😇', '😄', '😠', '😠', '😠', '😠', '😣', '😂']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Five Star Movement,reversed_instructions_02,1,"['⚡', '🌟', '😠', '🤩', '😄', '😠', '😠', '😂', '😠', '🌟']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,Free and Equal,final_01,1,"['😊', '😊', '😊', '😊', '☀️', '👋', '😊', '❤️', '🇮🇹', '🥰']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Free and Equal,reversed_based_on_training_data_03,1,"['😊', '😎', '😡', '✊', '👏', '❤️', '😊', '🔺', '😂', '❤️']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Free and Equal,reversed_instructions_02,1,"['✨', '🏆', '😠', '🫀', '✊', '⬆️', '😷', '🏳️', '😠', '😂']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Freedom Party of Austria,final_01,4,"['😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠']",-0.0
deepseek/deepseek-r1-0528-qwen3-8b,Freedom Party of Austria,reversed_based_on_training_data_03,4,"['🔥', '😠', '😠', '📊', '😠', '😠', '🚨', '🩴', '🤬', '😠']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Freedom Party of Austria,reversed_instructions_02,4,"['🔴', '🇦🇹', '🛡️', '🤨', '✊', '😠', '😠', '😠', '😠', '👻']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Green Party,final_01,1,"['😊', '😊', '🙂', '🌿', '😊', '😇', '😊', '✨', '🌹', '👁️']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Green Party,reversed_based_on_training_data_03,1,"['🍃', '🌿', '🌱', '😊', '😍', '🌱', '❤️', '🌿', '😊', '😄']",2.7219
deepseek/deepseek-r1-0528-qwen3-8b,Green Party,reversed_instructions_02,1,"['😊', '🌿', '😎', '🌿', '🌳', '🌿', '🪴', '🌱', '🍃', '🌿']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Japanese Communist Party,final_01,1,"['😠', '😠', '💪', '😠', '😠', '✊', '✊', '😠', '🫀', '😠']",1.571
deepseek/deepseek-r1-0528-qwen3-8b,Japanese Communist Party,reversed_based_on_training_data_03,1,"['😀', '😠', '😰', '😠', '😥', '😊', '😊', '😠', '🔥', '✊']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Japanese Communist Party,reversed_instructions_02,1,"['🔩', '😠', '✊', '❤️', '😢', '🔥', '⬆️', '😠', '😠', '😊']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,La France Insoumise,final_01,1,"['✊', '😠', '🤝', '😠', '🙌', '😠', '✊', '😠', '😠', '😠']",1.571
deepseek/deepseek-r1-0528-qwen3-8b,La France Insoumise,reversed_based_on_training_data_03,1,"['😠', '😠', '😡', '😡', '😠', '😠', '🔥', '😠', '😠', '😠']",1.1568
deepseek/deepseek-r1-0528-qwen3-8b,La France Insoumise,reversed_instructions_02,1,"['❤️', '🇫🇷', '🤬', '😭', '😠', '😠', '❤️', '🔥', '🖕', '😠']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Labour Party,final_01,1,"['😠', '🖤', '😠', '🤦', '✊', '🔥', '💪', '😭', '🟥', '😀']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Labour Party,reversed_based_on_training_data_03,1,"['✊', '😊', '❤️', '😊', '😠', '❤️', '🌹', '💪', '😠', '😞']",2.7219
deepseek/deepseek-r1-0528-qwen3-8b,Labour Party,reversed_instructions_02,1,"['✊', '🤬', '✊', '❤️', '🩰', '❤️', '😢', '🕊️', '🤝', '😠']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Democratic Party,final_01,4,"['😊', '🔴', '😅', '😉', '😇', '😓', '😎', '😊', '😊', '😄']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Democratic Party,reversed_based_on_training_data_03,4,"['😯', '😊', '😎', '😊', '💙', '🏌️\u200d♂️', '😎', '😊', '😎', '😊']",2.0464
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Democratic Party,reversed_instructions_02,4,"['😊', '🦁', '🚀', '😊', '🐟', '😊', '💖', '😎', '⚖️', '🦊']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Democrats,final_01,1,"['🦉', '💙', '😄', '🤔', '🧠', '😄', '😔', '😊', '😊', '🤔']",2.7219
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Democrats,reversed_based_on_training_data_03,1,"['😊', '👍', '😊', '😜', '🤗', '😊', '🤝', '😊', '😊', '🙏']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Democrats,reversed_instructions_02,1,"['😊', '🤝', '🟦', '😐', '❤️\u200d🔥', '😊', '🌿', '😊', '😊', '🌿']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,Liberal National Party,final_01,4,"['😎', '🦘', '😊', '🥂', '😊', '🧳', '👍', '😄', '😏', '⬆️']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Liberal National Party,reversed_based_on_training_data_03,4,"['🍾', '🚀', '😎', '😊', '😊', '😊', '💙', '😎', '😊', '🟦']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,Liberal National Party,reversed_instructions_02,4,"['💙', '💪', '❤️', '🧡', '😎', '😠', '🔴', '😠', '🪟', '😠']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Party,final_01,1,"['😊', '🗳️', '🌿', '🌳', '😊', '😊', '😊', '😊', '😊', '😊']",1.3568
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Party,reversed_based_on_training_data_03,1,"['😊', '😊', '😇', '💘', '😊', '💙', '😊', '😊', '😊', '❤️']",1.771
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Party,reversed_instructions_02,1,"['😏', '💫', '✨', '😎', '💙', '❤️', '😊', '😄', '🔥', '💙']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Party of Australia,final_01,4,"['😎', '💙', '🌟', '😊', '😊', '😌', '⬆️', '😊', '🧠', '😌']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Party of Australia,reversed_based_on_training_data_03,4,"['😎', '☀️', '😊', '😎', '😊', '😎', '😂', '😊', '🌤️', '💪']",2.371
deepseek/deepseek-r1-0528-qwen3-8b,Liberal Party of Australia,reversed_instructions_02,4,"['💙', '🤔', '😎', '😊', '😊', '😊', '🐠', '😊', '☀️', '😎']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,National Party of Australia,final_01,4,"['😊', '😎', '🌳', '😄', '😊', '😎', '🤬', '😎', '🍃', '😊']",2.371
deepseek/deepseek-r1-0528-qwen3-8b,National Party of Australia,reversed_based_on_training_data_03,4,"['😊', '😊', '🌰', '😊', '🙌', '🌾', '💪', '😎', '🦘', '😊']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,National Party of Australia,reversed_instructions_02,4,"['💪', '👍', '✊', '🍀', '🤝', '🤨', '🇦🇺', '😭', '🌿', '😔']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,National Rally,final_01,4,"['😠', '😠', '🤬', '⚔️', '😖', '😠', '💪', '✌️', '😠', '😠']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,National Rally,reversed_based_on_training_data_03,4,"['😠', '⚛️', '🦁', '✊', '😎', '😤', '💛', '😠', '😠', '😠']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,National Rally,reversed_instructions_02,4,"['✊', '😠', '😠', '😠', '⭕', '😎', '🔥', '🇫🇷', '😤', '😠']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,New Democratic Party,final_01,1,"['❤️', '🏝️', '😊', '😊', '😊', '😊', '😊', '🔥', '✊', '👌']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,New Democratic Party,reversed_based_on_training_data_03,1,"['😊', '😠', '⬆️', '😊', '😠', '😭', '😠', '😭', '😤', '😠']",2.1219
deepseek/deepseek-r1-0528-qwen3-8b,New Democratic Party,reversed_instructions_02,1,"['👍', '🔥', '✊', '😠', '🫂', '❤️', '🕊️', '🪄', '😊', '💥']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,Nippon Ishin no Kai,final_01,4,"['😠', '😄', '😊', '😄', '💪', '🤔', '🧭', '🖕', '😊', '😄']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Nippon Ishin no Kai,reversed_based_on_training_data_03,4,"['😎', '㊗️', '😎', '💪', '😊', '🌈', '😊', '🤔', '😊', '😎']",2.371
deepseek/deepseek-r1-0528-qwen3-8b,Nippon Ishin no Kai,reversed_instructions_02,4,"['🔴', '🔥', '❤️', '😊', '🔥', '📈', '🙂', '💪', '🙏', '😊']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Party of Hope,final_01,4,"['😊', '😁', '😄', '😊', '😊', '😊', '⬆️', '😊', '🥳', '😊']",1.771
deepseek/deepseek-r1-0528-qwen3-8b,Party of Hope,reversed_based_on_training_data_03,4,"['😊', '😊', '😊', '😊', '😎', '🌈', '😇', '😊', '😊', '🔥']",1.771
deepseek/deepseek-r1-0528-qwen3-8b,Party of Hope,reversed_instructions_02,4,"['😊', '😊', '😊', '😠', '😎', '☀️', '🌈', '😊', '🌞', '🇯🇵']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,People's Party,final_01,4,"['😊', '😭', '🤔', '😤', '😇', '✊', '😊', '😊', '😊', '😊']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,People's Party,reversed_based_on_training_data_03,4,"['😅', '😊', '😊', '😊', '👂', '🎈', '🌹', '😎', '😄', '😊']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,People's Party,reversed_instructions_02,4,"['🇵🇹', '💛', '🦁', '😷', '🏁', '😠', '😊', '😄', '🤝', '🇪🇸']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,Peter Pilz List ,final_01,1,"['🤔', '😠', '😏', '😠', '❤️', '🤢', '😠', '🌿', '👍', '👉']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Peter Pilz List ,reversed_based_on_training_data_03,1,"['😂', '😠', '😈', '🤨', '😅', '💩', '😡', '😠', '😠', '🌱']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Peter Pilz List ,reversed_instructions_02,1,"['🇦🇹', '🪓', '🎉', '😠', '😄', '😠', '😍', '🤬', '❤️', '😭']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Republican Party,final_01,4,"['🧟', '🚀', '😏', '🪑', '😠', '😎', '😠', '😠', '😠', '😠']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Republican Party,reversed_based_on_training_data_03,4,"['😠', '🏆', '😊', '😠', '😏', '😊', '😎', '😊', '🤨', '😎']",2.4464
deepseek/deepseek-r1-0528-qwen3-8b,Republican Party,reversed_instructions_02,4,"['🇺🇸', '👍', '🐘', '🔴', '😠', '😎', '😠', '🕊️', '👉', '👁️']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Scottish National Party,final_01,1,"['🪐', '🦉', '😁', '⬆️', '💪', '😊', '➡️', '✍️', '👍', '😊']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Scottish National Party,reversed_based_on_training_data_03,1,"['✊', '💪', '😊', '😊', '⬆️', '😴', '🏆', '😊', '🦉', '1️⃣']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Scottish National Party,reversed_instructions_02,1,"['🟨', '➡️', '😎', '🙌', '🌿', '🚀', '💛', '🌥️', '❤️', '🔥']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,Social Democratic Party,final_01,1,"['😊', '😊', '🕊️', '😀', '😊', '❤️', '😊', '😊', '🌱', '❤️']",1.961
deepseek/deepseek-r1-0528-qwen3-8b,Social Democratic Party,reversed_based_on_training_data_03,1,"['🫂', '😎', '😊', '😊', '😊', '😊', '👋', '❤️', '😊', '🫂']",1.961
deepseek/deepseek-r1-0528-qwen3-8b,Social Democratic Party,reversed_instructions_02,1,"['😝', '❤️', '💙', '💙', '😊', '❤️', '💙', '💗', '🫥', '😬']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,Social Democratic Party of Austria,final_01,1,"['😊', '🤝', '🦉', '⚒️', '😊', '😊', '🫀', '😊', '🤗', '🫥']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,Social Democratic Party of Austria,reversed_based_on_training_data_03,1,"['😊', '👏', '😊', '🎮', '🫀', '❤️', '😊', '🤗', '👍', '😀']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Social Democratic Party of Austria,reversed_instructions_02,1,"['❤️', '❤️', '❤️', '❤️', '😄', '💯', '💞', '🤗', '😂', '❤️']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,Socialist Party,final_01,1,"['✨', '😟', '❤️', '🔍', '🫱', '😊', '❤️\u200d🩹', '😭', '☮️', '😤']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,Socialist Party,reversed_based_on_training_data_03,1,"['😊', '😢', '😇', '😊', '😢', '😊', '😊', '💖', '🤗', '😊']",1.961
deepseek/deepseek-r1-0528-qwen3-8b,Socialist Party,reversed_instructions_02,1,"['🤔', '🇫🇷', '🤝', '✊', '✊', '😢', '🫰', '💙', '🙏', '❤️']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Spanish Socialist Workers' Party,final_01,1,"['⬆️', '😡', '😊', '😊', '😊', '😟', '💙', '😎', '🔴', '🤗']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Spanish Socialist Workers' Party,reversed_based_on_training_data_03,1,"['😊', '😊', '📈', '😟', '😠', '😢', '😭', '🙂', '❤️', '💖']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,Spanish Socialist Workers' Party,reversed_instructions_02,1,"['⭐', '😠', '😡', '😄', '🔴', '❤️\u200d🔥', '🌱', '😊', '❤️', '😊']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,The Force of the Majority,final_01,1,"['😊', '🇵🇷', '😍', '❤️', '😊', '😊', '🤗', '🤔', '💪', '🟥']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,The Force of the Majority,reversed_based_on_training_data_03,1,"['😊', '📍', '💪', '😊', '✊', '😊', '😇', '👍', '😊', '🛰️']",2.5219
deepseek/deepseek-r1-0528-qwen3-8b,The Force of the Majority,reversed_instructions_02,1,"['✊🏽', '🤯', '🩵', '🎉', '💪', '😎', '🫖', '🤔', '😇', '😠']",3.3219
deepseek/deepseek-r1-0528-qwen3-8b,The Greens – The Green Alternative,final_01,1,"['😎', '😊', '😌', '😊', '🌿', '🌳', '😊', '😊', '😊', '🧬']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,The Greens – The Green Alternative,reversed_based_on_training_data_03,1,"['🤭', '🥰', '😊', '🌿', '😢', '😊', '😊', '😊', '😊', '😄']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,The Greens – The Green Alternative,reversed_instructions_02,1,"['😊', '🍃', '😊', '🌱', '🍀', '🌿', '🌱', '🌱', '🌱', '🌿']",2.1219
deepseek/deepseek-r1-0528-qwen3-8b,The Left,final_01,1,"['😠', '😠', '⚒️', '✊', '😑', '😠', '💪', '😊', '😤', '😌']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,The Left,reversed_based_on_training_data_03,1,"['😠', '😊', '❤️', '🤨', '✊', '🫱', '😭', '✊', '🕊️', '😎']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,The Left,reversed_instructions_02,1,"['😠', '💖', '😠', '😠', '🤬', '😀', '✊', '🫀', '🩵', '✊']",2.6464
deepseek/deepseek-r1-0528-qwen3-8b,The Republicans,final_01,4,"['🙄', '😡', '📎', '😊', '❤️', '😠', '😠', '😠', '😠', '😠']",2.161
deepseek/deepseek-r1-0528-qwen3-8b,The Republicans,reversed_based_on_training_data_03,4,"['😠', '😊', '😌', '🇫🇷', '❤️', '🙄', '🔥', '😎', '😊', '😡']",3.1219
deepseek/deepseek-r1-0528-qwen3-8b,The Republicans,reversed_instructions_02,4,"['😊', '😠', '❤️', '🏳️', '🇫🇷', '❤️', '🔴', '😠', '🤝', '😊']",2.7219
deepseek/deepseek-r1-0528-qwen3-8b,Unidas Podemos,final_01,1,"['💖', '✊', '💪', '😠', '😊', '✋', '✊', '👩\u200d🎤', '😊', '🙏']",2.9219
deepseek/deepseek-r1-0528-qwen3-8b,Unidas Podemos,reversed_based_on_training_data_03,1,"['😠', '😇', '😊', '😊', '😊', '✊', '🙏', '❤️', '😊', '✊']",2.3219
deepseek/deepseek-r1-0528-qwen3-8b,Unidas Podemos,reversed_instructions_02,1,"['🌊', '✨', '❤️', '🐉', '😊', '😊', '🕊️', '😊', '💜', '🌿']",2.8464
deepseek/deepseek-r1-0528-qwen3-8b,Vox,final_01,4,"['🩸', '😠', '🛡️', '😠', '😟', '😠', '🛡️', '🤔', '😠', '😠']",1.961
deepseek/deepseek-r1-0528-qwen3-8b,Vox,reversed_based_on_training_data_03,4,"['😠', '😠', '😨', '😠', '🤬', '🤬', '✊', '😠', '😠', '😠']",1.571
