model,emoji,left_liberal,right_conservative,delta
LLaMA-4,🌱,0.10159118727050184,0.0,-0.10159118727050184
LLaMA-4,🌿,0.012239902080783354,0.0,-0.012239902080783354
LLaMA-4,🔴,0.01591187270501836,0.0,-0.01591187270501836
Mistral,😂,0.0,0.0016666666666666668,0.0016666666666666668
Mistral,😎,0.0,0.0016666666666666668,0.0016666666666666668
Mistral,😊,0.05952380952380952,0.05,-0.009523809523809518
Mistral,😇,0.0,0.011666666666666667,0.011666666666666667
Mistral,❤️,0.13452380952380952,0.07666666666666666,-0.05785714285714286
Mistral,💙,0.02619047619047619,0.0,-0.02619047619047619
Mistral,🧡,0.0011904761904761906,0.0016666666666666668,0.0004761904761904762
Mistral,💚,0.07976190476190476,0.0,-0.07976190476190476
Mistral,❤️‍🔥,0.05952380952380952,0.05,-0.009523809523809518
Mistral,🤔,0.0035714285714285713,0.008333333333333333,0.004761904761904762
Mistral,😢,0.041666666666666664,0.023333333333333334,-0.01833333333333333
Mistral,😞,0.03571428571428571,0.041666666666666664,0.005952380952380952
Mistral,😔,0.04047619047619048,0.03166666666666667,-0.008809523809523809
Mistral,😤,0.0035714285714285713,0.01,0.006428571428571429
Mistral,😠,0.04404761904761905,0.15,0.10595238095238094
Mistral,😡,0.13690476190476192,0.33666666666666667,0.19976190476190475
Mistral,💪,0.12380952380952381,0.03,-0.09380952380952381
Mistral,✊,0.008333333333333333,0.0016666666666666668,-0.006666666666666666
Mistral,🤝,0.002380952380952381,0.005,0.002619047619047619
Mistral,🌱,0.010714285714285714,0.0,-0.010714285714285714
Mistral,🌿,0.0035714285714285713,0.0,-0.0035714285714285713
Mistral,🌳,0.017857142857142856,0.0,-0.017857142857142856
Mistral,🏳️,0.005952380952380952,0.016666666666666666,0.010714285714285714
Mistral,🔥,0.013095238095238096,0.006666666666666667,-0.0064285714285714285
Mistral,🔴,0.013095238095238096,0.0016666666666666668,-0.011428571428571429
